LANGUAGE INTL

UPPERCASE 649

0x0061	0x0041	; A
0x24c2	0x24dc	; Circled m
0x24c3	0x24dd	; Circled n
0x24c4	0x24de	; Circled o
0x24c5	0x24df	; Circled p
0x24c6	0x24e0	; Circled q
0x24c7	0x24e1	; Circled r
0x24c8	0x24e2	; Circled s
0x24c9	0x24e3	; Circled t
0x24ca	0x24e4	; Circled u
0x24cb	0x24e5	; Circled v
0x24cc	0x24e6	; Circled w
0x24cd	0x24e7	; Circled x
0x24ce	0x24e8	; Circled y
0x24cf	0x24e9	; Circled z
0xff21	0xff41	; Full Width a
0xff22	0xff42	; Full Width b
0xff23	0xff43	; Full Width c
0xff24	0xff44	; Full Width d
0xff25	0xff45	; Full Width e
0xff26	0xff46	; Full Width f
0xff27	0xff47	; Full Width g
0xff28	0xff48	; Full Width h
0xff29	0xff49	; Full Width i
0xff2a	0xff4a	; Full Width j
0xff2b	0xff4b	; Full Width k
0xff2c	0xff4c	; Full Width l
0xff2d	0xff4d	; Full Width m
0xff2e	0xff4e	; Full Width n
0xff2f	0xff4f	; Full Width o
0xff30	0xff50	; Full Width p
0xff31	0xff51	; Full Width q
0xff32	0xff52	; Full Width r
0xff33	0xff53	; Full Width s
0xff34	0xff54	; Full Width t
0xff35	0xff55	; Full Width u
0xff36	0xff56	; Full Width v
0xff37	0xff57	; Full Width w
0xff38	0xff58	; Full Width x
0xff39	0xff59	; Full Width y
0xff3a	0xff5a	; Full Width z


ENDLANGUAGE


LANGUAGE_EXCEPTION 3

  LCID  0x00000000  13  8    ; Default - Culturally Correct

    UPPERCASE

	0x0131	0x0049	; Dotless i -> I
	0x01c5	0x01c4	; Dz Caron -> DZ Caron
	0x01c8	0x01c7	; Lj -> LJ
	0x01cb	0x01ca	; Nj -> NJ
	0x01f2	0x01f1	;*Dz -> DZ
	0x0390	0x03aa	; Greek Small Iota Diaeresis Tonos -> Capital Iota Diaeresis
	0x03b0	0x03ab	; Greek Small Upsilon Diaersis Tonos -> Capital Upsilon Diaersis
	0x03d0	0x0392	; Greek Beta Symbol -> Greek Capital Beta
	0x03d1	0x0398	; Greek Theta Symbol -> Greek Capital Theta
	0x03d5	0x03a6	; Greek Phi Symbol -> Greek Capital Phi
	0x03d6	0x03a0	; Greek Pi Symbol -> Greek Capital Pi
	0x03f0	0x039a	; Greek Kappa Symbol -> Greek Capital Kappa
	0x03f1	0x03a1	; Greek Rho Symbol -> Greek Capital Rho

    LOWERCASE

	0x0130	0x0069	; I Dot Above -> i
	0x01c5	0x01c6	; Dz Caron -> dz Caron
	0x01c8	0x01c9	; Lj -> lj
	0x01cb	0x01cc	; Nj -> nj
	0x01f2	0x01f3	;*Dz -> dz
	0x03d2	0x03c5	; Greek Upsilon Hook Symbol -> Greek Small Upsilon
	0x03d3	0x03cd	; Greek Upsilon Acute Hook Symbol -> Greek Small Upsilon Tonos
	0x03d4	0x03cb	; Greek Upsilon Diaeresis Hook Symbol -> Greek Small Upsilon Dialytika


  LCID  0x0000041f  2  2     ; Turkish - Culturally Correct

    UPPERCASE

	0x0069	0x0130	; i -> I with Dot
	0x0131	0x0049	; Dotless i -> I

    LOWERCASE

	0x0049	0x0131	; I -> Dotless i
	0x0130	0x0069	; I with Dot -> i


  LCID  0x0000042c  2  2     ; Azeri (Latin) - Culturally Correct

    UPPERCASE

	0x0069	0x0130	; i -> I with Dot
	0x0131	0x0049	; Dotless i -> I

    LOWERCASE

	0x0049	0x0131	; I -> Dotless i
	0x0130	0x0069	; I with Dot -> i
